BEGIN;
BEGIN
select
	p_brand,
	p_type,
	p_size,
	count(distinct ps_suppkey) as supplier_cnt
from
	partsupp,
	part
where
	p_partkey = ps_partkey
	and p_brand <> 'Brand#12'
	and p_type not like 'STANDARD POLISHED%'
	and p_size in (26, 16, 41, 7, 37, 9, 46, 44)
	and ps_suppkey not in (
		select
			s_suppkey
		from
			supplier
		where
			s_comment like '%Customer%Complaints%'
	)
group by
	p_brand,
	p_type,
	p_size
order by
	supplier_cnt desc,
	p_brand,
	p_type,
	p_size;
  p_brand   |          p_type           | p_size | supplier_cnt 
------------+---------------------------+--------+--------------
 Brand#44   | STANDARD PLATED TIN       |      9 |          120
 Brand#41   | ECONOMY POLISHED BRASS    |     16 |          104
 Brand#11   | ECONOMY POLISHED COPPER   |     41 |           99
 Brand#11   | SMALL POLISHED BRASS      |     46 |           96
 Brand#14   | STANDARD PLATED BRASS     |     26 |           96
 Brand#21   | MEDIUM PLATED BRASS       |     16 |           96
 Brand#31   | LARGE POLISHED COPPER     |     37 |           96
 Brand#32   | MEDIUM ANODIZED COPPER    |     16 |           96
 Brand#44   | ECONOMY ANODIZED STEEL    |     44 |           96
 Brand#44   | MEDIUM POLISHED TIN       |     46 |           96
 Brand#11   | SMALL BRUSHED STEEL       |      9 |           92
 Brand#13   | PROMO BRUSHED STEEL       |      7 |           92
 Brand#13   | SMALL BRUSHED COPPER      |     46 |           92
 Brand#15   | MEDIUM BRUSHED COPPER     |     16 |           92
 Brand#21   | MEDIUM POLISHED BRASS     |     37 |           92
 Brand#22   | ECONOMY ANODIZED TIN      |     46 |           92
 Brand#24   | MEDIUM BURNISHED TIN      |     37 |           92
 Brand#25   | STANDARD ANODIZED NICKEL  |     46 |           92
 Brand#34   | SMALL BRUSHED STEEL       |     41 |           92
 Brand#35   | ECONOMY PLATED BRASS      |     37 |           92
 Brand#35   | PROMO BURNISHED TIN       |      9 |           92
 Brand#43   | MEDIUM BRUSHED COPPER     |      9 |           92
 Brand#45   | ECONOMY PLATED TIN        |      9 |           92
 Brand#11   | PROMO POLISHED BRASS      |     16 |           88
 Brand#13   | ECONOMY BRUSHED TIN       |     46 |           88
 Brand#14   | MEDIUM BRUSHED COPPER     |      7 |           88
 Brand#14   | STANDARD PLATED BRASS     |     37 |           88
 Brand#21   | MEDIUM POLISHED STEEL     |     37 |           88
 Brand#21   | SMALL PLATED COPPER       |      7 |           88
 Brand#24   | LARGE POLISHED TIN        |     46 |           88
 Brand#25   | LARGE BURNISHED BRASS     |     46 |           88
 Brand#25   | PROMO BRUSHED NICKEL      |     41 |           88
 Brand#33   | MEDIUM BURNISHED COPPER   |      7 |           88
 Brand#33   | STANDARD ANODIZED BRASS   |     46 |           88
 Brand#34   | STANDARD BRUSHED NICKEL   |     16 |           88
 Brand#35   | PROMO POLISHED NICKEL     |     41 |           88
 Brand#35   | STANDARD PLATED TIN       |     44 |           88
 Brand#51   | SMALL BURNISHED TIN       |      7 |           88
 Brand#53   | PROMO BURNISHED COPPER    |     16 |           88
 Brand#53   | PROMO POLISHED TIN        |     44 |           88
 Brand#54   | PROMO POLISHED STEEL      |     26 |           88
 Brand#23   | PROMO BURNISHED TIN       |     16 |           87
 Brand#54   | LARGE ANODIZED BRASS      |     37 |           87
 Brand#11   | LARGE ANODIZED BRASS      |     41 |           84
 Brand#11   | SMALL PLATED BRASS        |     46 |           84
 Brand#13   | SMALL POLISHED NICKEL     |      9 |           84
 Brand#21   | ECONOMY BURNISHED TIN     |     26 |           84
 Brand#21   | PROMO BRUSHED TIN         |     16 |           84
 Brand#22   | LARGE ANODIZED TIN        |      7 |           84
 Brand#22   | MEDIUM BRUSHED STEEL      |      9 |           84
 Brand#22   | PROMO PLATED BRASS        |     37 |           84
 Brand#22   | PROMO PLATED NICKEL       |     16 |           84
 Brand#22   | STANDARD BRUSHED TIN      |     46 |           84
 Brand#24   | ECONOMY BRUSHED TIN       |     41 |           84
 Brand#24   | SMALL ANODIZED STEEL      |     16 |           84
 Brand#24   | STANDARD BRUSHED NICKEL   |     16 |           84
 Brand#25   | MEDIUM ANODIZED COPPER    |     44 |           84
 Brand#25   | SMALL ANODIZED BRASS      |     37 |           84
 Brand#31   | MEDIUM POLISHED COPPER    |     16 |           84
 Brand#31   | PROMO POLISHED NICKEL     |      9 |           84
 Brand#32   | ECONOMY BURNISHED TIN     |     16 |           84
 Brand#32   | MEDIUM BRUSHED STEEL      |     44 |           84
 Brand#32   | MEDIUM POLISHED BRASS     |      7 |           84
 Brand#32   | PROMO BURNISHED NICKEL    |     16 |           84
 Brand#34   | ECONOMY ANODIZED NICKEL   |      9 |           84
 Brand#34   | MEDIUM POLISHED COPPER    |      7 |           84
 Brand#34   | SMALL ANODIZED BRASS      |     26 |           84
 Brand#35   | MEDIUM BURNISHED STEEL    |      7 |           84
 Brand#41   | ECONOMY ANODIZED TIN      |     26 |           84
 Brand#41   | ECONOMY PLATED STEEL      |     37 |           84
 Brand#41   | LARGE POLISHED TIN        |     41 |           84
 Brand#41   | STANDARD BRUSHED TIN      |     44 |           84
 Brand#45   | STANDARD BURNISHED NICKEL |     41 |           84
 Brand#51   | ECONOMY BURNISHED BRASS   |     44 |           84
 Brand#51   | ECONOMY BURNISHED TIN     |     46 |           84
 Brand#51   | LARGE PLATED COPPER       |      9 |           84
 Brand#51   | PROMO BRUSHED STEEL       |     44 |           84
 Brand#52   | ECONOMY POLISHED TIN      |     26 |           84
 Brand#52   | MEDIUM POLISHED TIN       |     16 |           84
 Brand#52   | SMALL POLISHED STEEL      |     46 |           84
 Brand#53   | MEDIUM BRUSHED BRASS      |     46 |           84
 Brand#54   | STANDARD PLATED TIN       |     16 |           84
 Brand#55   | SMALL POLISHED BRASS      |     16 |           84
 Brand#15   | STANDARD BRUSHED NICKEL   |     41 |           83
 Brand#23   | MEDIUM ANODIZED NICKEL    |     44 |           83
 Brand#35   | SMALL POLISHED TIN        |      7 |           83
 Brand#44   | MEDIUM ANODIZED TIN       |     41 |           83
 Brand#11   | STANDARD PLATED COPPER    |     26 |           80
 Brand#13   | MEDIUM BRUSHED TIN        |      7 |           80
 Brand#13   | SMALL POLISHED STEEL      |     16 |           80
 Brand#14   | LARGE PLATED STEEL        |      9 |           80
 Brand#14   | MEDIUM POLISHED STEEL     |     41 |           80
 Brand#14   | PROMO PLATED BRASS        |     37 |           80
 Brand#14   | STANDARD BURNISHED STEEL  |     16 |           80
 Brand#14   | STANDARD PLATED STEEL     |      7 |           80
 Brand#15   | MEDIUM ANODIZED TIN       |     26 |           80
 Brand#15   | MEDIUM POLISHED TIN       |     41 |           80
 Brand#15   | PROMO POLISHED COPPER     |     26 |           80
 Brand#15   | SMALL BRUSHED STEEL       |     16 |           80
 Brand#15   | SMALL PLATED BRASS        |     26 |           80
 Brand#15   | SMALL POLISHED BRASS      |     41 |           80
 Brand#15   | STANDARD ANODIZED STEEL   |     44 |           80
 Brand#15   | STANDARD BRUSHED COPPER   |     16 |           80
 Brand#15   | STANDARD PLATED STEEL     |      7 |           80
 Brand#21   | ECONOMY BRUSHED NICKEL    |     41 |           80
 Brand#21   | MEDIUM BURNISHED COPPER   |     16 |           80
 Brand#21   | PROMO POLISHED STEEL      |      9 |           80
 Brand#21   | STANDARD PLATED BRASS     |      9 |           80
 Brand#22   | ECONOMY ANODIZED STEEL    |     26 |           80
 Brand#22   | MEDIUM BURNISHED NICKEL   |     16 |           80
 Brand#22   | PROMO ANODIZED BRASS      |     41 |           80
 Brand#23   | ECONOMY ANODIZED TIN      |     41 |           80
 Brand#23   | LARGE POLISHED COPPER     |      7 |           80
 Brand#23   | MEDIUM BRUSHED NICKEL     |     46 |           80
 Brand#24   | LARGE POLISHED NICKEL     |     16 |           80
 Brand#24   | MEDIUM BRUSHED COPPER     |     46 |           80
 Brand#24   | STANDARD BRUSHED STEEL    |     46 |           80
 Brand#24   | STANDARD PLATED NICKEL    |     46 |           80
 Brand#25   | LARGE POLISHED NICKEL     |     37 |           80
 Brand#25   | STANDARD BRUSHED TIN      |     44 |           80
 Brand#31   | ECONOMY ANODIZED TIN      |     46 |           80
 Brand#31   | ECONOMY BRUSHED COPPER    |     37 |           80
 Brand#31   | MEDIUM BRUSHED TIN        |      7 |           80
 Brand#31   | MEDIUM POLISHED BRASS     |     44 |           80
 Brand#31   | PROMO ANODIZED NICKEL     |     41 |           80
 Brand#31   | STANDARD BURNISHED TIN    |     44 |           80
 Brand#31   | STANDARD PLATED BRASS     |     26 |           80
 Brand#32   | ECONOMY PLATED BRASS      |      9 |           80
 Brand#32   | PROMO POLISHED BRASS      |      9 |           80
 Brand#32   | PROMO POLISHED STEEL      |      9 |           80
 Brand#32   | SMALL ANODIZED TIN        |     37 |           80
 Brand#32   | SMALL BRUSHED BRASS       |      9 |           80
 Brand#32   | SMALL BURNISHED STEEL     |     16 |           80
 Brand#32   | STANDARD ANODIZED TIN     |      9 |           80
 Brand#33   | ECONOMY BRUSHED COPPER    |     41 |           80
 Brand#33   | ECONOMY BRUSHED STEEL     |     16 |           80
 Brand#33   | ECONOMY PLATED STEEL      |      7 |           80
 Brand#33   | LARGE BURNISHED TIN       |     46 |           80
 Brand#33   | SMALL PLATED TIN          |      7 |           80
 Brand#33   | STANDARD BURNISHED BRASS  |      9 |           80
 Brand#33   | STANDARD PLATED NICKEL    |      9 |           80
 Brand#34   | LARGE POLISHED NICKEL     |      7 |           80
 Brand#34   | PROMO PLATED BRASS        |     37 |           80
 Brand#34   | SMALL PLATED STEEL        |     44 |           80
 Brand#34   | SMALL POLISHED TIN        |     26 |           80
 Brand#34   | STANDARD BURNISHED COPPER |      7 |           80
 Brand#35   | ECONOMY PLATED STEEL      |      9 |           80
 Brand#35   | MEDIUM POLISHED NICKEL    |     16 |           80
 Brand#35   | PROMO BURNISHED NICKEL    |      9 |           80
 Brand#35   | SMALL ANODIZED STEEL      |      7 |           80
 Brand#35   | SMALL BURNISHED STEEL     |     37 |           80
 Brand#41   | MEDIUM POLISHED BRASS     |     41 |           80
 Brand#41   | SMALL BURNISHED BRASS     |     16 |           80
 Brand#41   | STANDARD BRUSHED COPPER   |     26 |           80
 Brand#42   | ECONOMY BURNISHED BRASS   |     46 |           80
 Brand#42   | MEDIUM PLATED TIN         |     46 |           80
 Brand#42   | PROMO PLATED COPPER       |     44 |           80
 Brand#42   | SMALL BRUSHED COPPER      |     37 |           80
 Brand#42   | SMALL PLATED TIN          |     37 |           80
 Brand#42   | STANDARD BRUSHED BRASS    |     16 |           80
 Brand#42   | STANDARD BURNISHED TIN    |      9 |           80
 Brand#43   | ECONOMY PLATED STEEL      |      7 |           80
 Brand#43   | LARGE ANODIZED TIN        |     26 |           80
 Brand#43   | LARGE BRUSHED COPPER      |     46 |           80
 Brand#43   | LARGE POLISHED TIN        |     41 |           80
 Brand#43   | MEDIUM ANODIZED NICKEL    |     44 |           80
 Brand#44   | ECONOMY PLATED STEEL      |     37 |           80
 Brand#44   | LARGE PLATED TIN          |     44 |           80
 Brand#44   | PROMO BURNISHED TIN       |      7 |           80
 Brand#45   | LARGE ANODIZED NICKEL     |      9 |           80
 Brand#51   | ECONOMY ANODIZED TIN      |     16 |           80
 Brand#51   | LARGE PLATED STEEL        |     46 |           80
 Brand#51   | STANDARD BURNISHED NICKEL |     44 |           80
 Brand#52   | LARGE BRUSHED COPPER      |     41 |           80
 Brand#52   | PROMO BRUSHED TIN         |     44 |           80
 Brand#52   | SMALL ANODIZED STEEL      |     26 |           80
 Brand#52   | SMALL BRUSHED TIN         |      7 |           80
 Brand#52   | SMALL PLATED BRASS        |     46 |           80
 Brand#52   | STANDARD BRUSHED TIN      |     44 |           80
 Brand#53   | ECONOMY PLATED COPPER     |      9 |           80
 Brand#53   | MEDIUM POLISHED BRASS     |      9 |           80
 Brand#53   | SMALL ANODIZED BRASS      |      7 |           80
 Brand#53   | STANDARD PLATED NICKEL    |     16 |           80
 Brand#54   | LARGE ANODIZED BRASS      |     44 |           80
 Brand#55   | MEDIUM PLATED COPPER      |      9 |           80
 Brand#55   | PROMO ANODIZED TIN        |      7 |           80
 Brand#55   | PROMO POLISHED BRASS      |     26 |           80
 Brand#55   | MEDIUM POLISHED TIN       |     26 |           79
 Brand#43   | ECONOMY BRUSHED NICKEL    |     46 |           78
 Brand#11   | ECONOMY ANODIZED TIN      |     46 |           76
 Brand#11   | ECONOMY POLISHED STEEL    |     44 |           76
 Brand#11   | LARGE BRUSHED TIN         |     26 |           76
 Brand#11   | MEDIUM BRUSHED TIN        |      7 |           76
 Brand#11   | MEDIUM POLISHED TIN       |     41 |           76
 Brand#11   | PROMO BRUSHED TIN         |     44 |           76
 Brand#13   | MEDIUM BURNISHED BRASS    |     26 |           76
 Brand#13   | SMALL BURNISHED BRASS     |      9 |           76
 Brand#13   | STANDARD BURNISHED COPPER |     46 |           76
 Brand#14   | PROMO BURNISHED BRASS     |      9 |           76
 Brand#14   | SMALL BRUSHED COPPER      |     46 |           76
 Brand#14   | SMALL PLATED BRASS        |     16 |           76
 Brand#15   | ECONOMY ANODIZED COPPER   |     37 |           76
 Brand#15   | ECONOMY BRUSHED BRASS     |     41 |           76
 Brand#15   | ECONOMY BRUSHED STEEL     |     26 |           76
 Brand#15   | ECONOMY POLISHED TIN      |      7 |           76
 Brand#15   | MEDIUM BURNISHED STEEL    |     44 |           76
 Brand#15   | MEDIUM PLATED COPPER      |     26 |           76
 Brand#15   | MEDIUM POLISHED COPPER    |     41 |           76
 Brand#15   | PROMO PLATED BRASS        |     16 |           76
 Brand#15   | SMALL POLISHED TIN        |     46 |           76
 Brand#21   | ECONOMY BRUSHED NICKEL    |     37 |           76
 Brand#21   | LARGE ANODIZED COPPER     |     44 |           76
 Brand#21   | PROMO PLATED STEEL        |     16 |           76
 Brand#21   | SMALL BRUSHED BRASS       |     41 |           76
 Brand#21   | STANDARD BRUSHED STEEL    |     16 |           76
 Brand#21   | STANDARD BRUSHED TIN      |      7 |           76
 Brand#21   | STANDARD PLATED COPPER    |     16 |           76
 Brand#22   | MEDIUM PLATED TIN         |     46 |           76
 Brand#22   | MEDIUM POLISHED STEEL     |      9 |           76
 Brand#22   | PROMO ANODIZED NICKEL     |     16 |           76
 Brand#22   | PROMO BURNISHED TIN       |      9 |           76
